Test: InstallSnapshot RPC (3B) ...
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 0, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 1, key:a, value:A, ok: true reply: {true ErrWrongLeader}
2018/05/06 01:10:05 In server: 2, key:a, value:A, ok: true reply: {true ErrWrongLeader}
